ticker,date,sentiment_mean,sentiment_std,sentiment_min,sentiment_max,num_articles,sentiment_range,close,volume,momentum_5d,momentum_10d,momentum_20d,volatility_10d,volatility_20d,price_vs_ma10,price_vs_ma20,volume_change,volume_ma_ratio,day_of_week,day_of_month,month,is_month_start,is_month_end,target,target_direction
MDT,2025-11-25,-0.0623160600662231,0.0,-0.0623160600662231,-0.0623160600662231,1,0.0,105.3499984741211,9482900,0.045138842109230914,0.10429766026306697,0.13000101556132915,0.01676976622812638,0.015595524107271823,0.05949674829990004,0.10367296514669344,-0.3190702550551471,0.9037341013359357,1,25,11,0,1,,0
META,2025-03-31,0.7348343655467033,0.0,0.7348343655467033,0.7348343655467033,1,0.0,575.0594482421875,21124700,-0.06865958394714933,-0.047181330535688626,-0.1193454772230097,0.025205565708633706,0.027167389072901962,-0.03303248276979487,-0.04989369208011085,0.20007612425295984,1.1542593183516998,0,31,3,0,1,0.28388464847490513,1
META,2025-06-30,0.7355458736419678,0.0,0.7355458736419678,0.7355458736419678,1,0.0,736.9910888671875,15402100,0.056633119749534444,0.08169618349933572,0.14080198871221405,0.016133922348499283,0.016777279047260816,0.04034142060774393,0.05711260805609042,-0.17967905324435307,1.1099844623362995,0,30,6,0,1,,0
META,2025-09-30,0.7417580857872963,0.0,0.7417580857872963,0.7417580857872963,1,0.0,733.7815551757812,16226800,-0.027826314361153792,-0.05664222116953743,-0.0003187231781515143,0.008395207464548762,0.01129401523181002,-0.031727517294605545,-0.02973097445508066,0.7548557338755029,1.3386085295170655,1,30,9,0,1,,0
META,2025-12-31,0.7156634628772736,0.0,0.7156634628772736,0.7156634628772736,1,0.0,660.0900268554688,7940400,-0.00729385443518249,0.004473867963449729,0.020906228247163483,0.010970974708374829,0.01368275158047523,-0.0020907539479984028,0.0031385544191406822,-0.13573877551020408,0.5351474411940331,2,31,12,0,1,,0
META,2026-01-28,-0.0486496910452842,0.0,-0.0486496910452842,-0.0486496910452842,1,0.0,668.72998046875,25709600,0.09098465886341534,0.059642764124842484,0.015242341602470066,0.02396051736514794,0.019386094372791384,0.04585474581584004,0.03592097912364034,0.9334305954547506,1.4707369702461448,2,28,1,0,1,,0
META,2026-01-29,-0.0136347785592079,0.0,-0.0136347785592079,-0.0136347785592079,1,0.0,738.3099975585938,59852900,0.1400182079151655,0.19948982020252504,0.10865678207851315,0.03676667802809867,0.030121532522246534,0.13291769972153467,0.13733219785063877,1.328036997852942,2.731355352877664,3,29,1,0,1,,0
MMM,2026-02-03,-0.0221826415508985,0.0,-0.0221826415508985,-0.0221826415508985,1,0.0,155.67999267578125,5178800,-0.014995320026665482,-0.0028183605890839125,-0.0481199035715455,0.0162757070570091,0.021475951801047135,-0.009259604346063655,-0.037027013387169516,-0.039807175303606224,1.050198123806086,1,3,2,1,0,,0
MMM,2026-02-05,-0.0690414290875196,0.0,-0.0690414290875196,-0.0690414290875196,1,0.0,165.0800018310547,3514000,0.055633691498869986,0.027703397951638564,0.013320226629213616,0.021454918021822075,0.02402057651853552,0.042362570936253174,0.02119657587352064,-0.460621037928441,0.7506493950372548,3,5,2,1,0,,0
MPC,2025-12-18,-0.0396246500313282,0.0,-0.0396246500313282,-0.0396246500313282,1,0.0,168.11000061035156,2888600,-0.10154454565775284,-0.11590846170697833,-0.14019027753248714,0.017805237342558972,0.017677560270718932,-0.0863636550223803,-0.1040273608062996,-0.05319741715559345,1.1768396522362643,3,18,12,0,0,,0
