date,ticker,open,high,low,close,volume
2026-03-05,C,110.56999969482422,111.5999984741211,107.88999938964844,108.94999694824219,15549100
2026-03-06,C,105.19000244140625,106.58999633789062,103.08999633789062,106.52999877929688,16586900
2026-03-09,C,104.44999694824219,107.05000305175781,102.01000213623047,106.58999633789062,18525600
2026-03-10,C,108.41000366210938,110.91000366210938,107.37000274658203,108.97000122070312,17843900
2026-03-04,BLK,1054.1315361944655,1057.1049729859449,1039.2145804936006,1043.421142578125,482100
2026-03-05,BLK,1033.9339964228552,1040.6665356838762,1016.4613210990809,1029.27001953125,672800
2026-03-06,BLK,991.2899780273438,994.8200073242188,948.75,955.4500122070312,1846200
2026-03-09,BLK,929.3800048828125,960.3900146484375,919.0,957.6699829101562,1933100
2026-03-10,BLK,965.0,976.7999877929688,956.5499877929688,967.3599853515625,1158700
2026-03-04,SCHW,96.22000122070312,96.80000305175781,95.37999725341797,96.04000091552734,8268100
2026-03-05,SCHW,95.47000122070312,96.83999633789062,94.16000366210938,95.41000366210938,12027400
2026-03-06,SCHW,93.87999725341797,95.2699966430664,92.55000305175781,95.2300033569336,9745100
2026-03-09,SCHW,94.0999984741211,94.86000061035156,92.2699966430664,94.37999725341797,8517400
2026-03-10,SCHW,94.4000015258789,94.62000274658203,92.58999633789062,93.16999816894531,7015000
2026-03-04,AXP,309.1099853515625,312.4599914550781,307.0,311.2099914550781,4055200
2026-03-05,AXP,306.8599853515625,309.5,304.79998779296875,307.2099914550781,4601800
2026-03-06,AXP,300.67999267578125,303.0,294.510009765625,301.0,5500100
2026-03-09,AXP,294.5299987792969,306.29998779296875,292.42999267578125,305.3800048828125,4695000
2026-03-10,AXP,305.95001220703125,308.25,301.0199890136719,303.1499938964844,3486300
2026-03-04,V,321.44000244140625,325.7699890136719,319.79998779296875,320.4700012207031,5257900
2026-03-05,V,319.3299865722656,322.79998779296875,314.7699890136719,319.79998779296875,8267200
2026-03-06,V,316.04998779296875,317.69000244140625,312.29998779296875,317.3599853515625,6439700
2026-03-09,V,313.4599914550781,316.3999938964844,310.1499938964844,315.9700012207031,8381500
2026-03-10,V,315.42999267578125,317.1300048828125,311.45001220703125,314.42999267578125,5268200
2026-03-04,MA,524.1599731445312,526.1599731445312,520.280029296875,522.9199829101562,3154700
2026-03-05,MA,521.0999755859375,525.3200073242188,512.75,524.6599731445312,3879300
2026-03-06,MA,519.6400146484375,522.5499877929688,512.2000122070312,522.3400268554688,2872900
2026-03-09,MA,516.27001953125,520.8900146484375,509.1099853515625,517.719970703125,3546600
2026-03-10,MA,516.9500122070312,519.3300170898438,511.0,514.719970703125,2759800
2026-03-04,PYPL,46.04999923706055,47.33000183105469,45.93000030517578,46.75,14612800
2026-03-05,PYPL,46.48500061035156,47.915000915527344,46.48500061035156,47.63999938964844,18317700
2026-03-06,PYPL,47.16999816894531,47.72999954223633,46.35499954223633,46.970001220703125,15900100
2026-03-09,PYPL,46.04999923706055,46.5260009765625,44.959999084472656,46.15999984741211,18908300
2026-03-10,PYPL,45.61000061035156,45.81999969482422,44.810001373291016,45.02000045776367,17547700
2026-03-04,COF,194.50999450683594,197.00999450683594,192.92999267578125,195.8300018310547,4650900
2026-03-05,COF,195.49000549316406,197.19000244140625,191.9600067138672,194.27000427246094,3905000
2026-03-06,COF,188.0,188.41000366210938,184.3000030517578,187.7100067138672,5685200
2026-03-09,COF,183.11000061035156,186.25,178.72999572753906,185.72999572753906,8730300
2026-03-10,COF,187.0,188.25,182.25,184.8699951171875,5492600
2026-03-04,USB,54.34000015258789,54.56999969482422,53.72999954223633,54.34000015258789,6987600
2026-03-05,USB,53.529998779296875,54.31999969482422,53.20000076293945,53.90999984741211,12849300
2026-03-06,USB,52.599998474121094,52.849998474121094,51.369998931884766,52.369998931884766,9804900
2026-03-09,USB,51.529998779296875,52.439998626708984,50.31999969482422,52.130001068115234,11260600
2026-03-10,USB,52.13999938964844,52.900001525878906,51.349998474121094,51.95000076293945,10459000
2026-03-04,PNC,213.92999267578125,215.10000610351562,212.25999450683594,213.86000061035156,1768300
2026-03-05,PNC,211.42999267578125,213.7899932861328,210.52999877929688,212.3699951171875,2269200
2026-03-06,PNC,207.6699981689453,209.0,202.8300018310547,206.1199951171875,3380000
2026-03-09,PNC,203.0500030517578,206.07000732421875,198.0399932861328,205.33999633789062,3001200
2026-03-10,PNC,205.36000061035156,210.24000549316406,203.61000061035156,206.38999938964844,2698900
2026-03-04,JNJ,245.75,246.57000732421875,243.17999267578125,245.3000030517578,5768000
2026-03-05,JNJ,242.6300048828125,243.0,235.92999267578125,239.6300048828125,9375400
2026-03-06,JNJ,238.1199951171875,240.7899932861328,235.42999267578125,240.39999389648438,7179800
2026-03-09,JNJ,240.8699951171875,244.08999633789062,240.0399932861328,242.58999633789062,7844000
2026-03-10,JNJ,242.3000030517578,245.0,240.82000732421875,243.7100067138672,7210000
2026-03-04,UNH,286.78047821184975,292.06934726969536,285.46072137240793,289.70770263671875,7796000
2026-03-05,UNH,287.81245235313276,289.1421418264066,284.52798914087526,286.5423278808594,5397900
2026-03-06,UNH,285.12337070169843,289.08258097242623,280.866456550322,284.27001953125,6816900
2026-03-09,UNH,282.0,285.20001220703125,278.6600036621094,285.1700134277344,10348800
2026-03-10,UNH,287.3800048828125,287.5799865722656,278.8999938964844,282.3399963378906,6069300
2026-03-04,PFE,26.770000457763672,26.780000686645508,26.350000381469727,26.6200008392334,30893500
2026-03-05,PFE,26.389999389648438,26.709999084472656,26.200000762939453,26.610000610351562,38908600
2026-03-06,PFE,26.540000915527344,27.1299991607666,26.229999542236328,27.049999237060547,53181800
2026-03-09,PFE,26.90999984741211,27.110000610351562,26.360000610351562,26.809999465942383,42789500
